Billions,Month,Category,Percentage,Percentage2
25.454,7/1/2000,DiningOut,0.093361894,0.093361894
25.342,8/1/2000,DiningOut,0.092847225,0.092847225
25.711,9/1/2000,DiningOut,0.092644574,0.092644574
25.706,10/1/2000,DiningOut,0.092810491,0.092810491
25.698,11/1/2000,DiningOut,0.093134679,0.093134679
25.133,12/1/2000,DiningOut,0.09114878,0.09114878
26.18,1/1/2001,DiningOut,0.093863385,0.093863385
26.069,2/1/2001,DiningOut,0.09350464,0.09350464
26.122,3/1/2001,DiningOut,0.094484714,0.094484714
26.045,4/1/2001,DiningOut,0.092751528,0.092751528
26.278,5/1/2001,DiningOut,0.093336648,0.093336648
26.379,6/1/2001,DiningOut,0.094076655,0.094076655
26.507,7/1/2001,DiningOut,0.094829745,0.094829745
26.853,8/1/2001,DiningOut,0.09541864,0.09541864
26.239,9/1/2001,DiningOut,0.095036129,0.095036129
26.541,10/1/2001,DiningOut,0.090087674,0.090087674
26.597,11/1/2001,DiningOut,0.092685392,0.092685392
27.156,12/1/2001,DiningOut,0.095718133,0.095718133
27.201,1/1/2002,DiningOut,0.095921037,0.095921037
27.384,2/1/2002,DiningOut,0.09606365,0.09606365
27.203,3/1/2002,DiningOut,0.095696591,0.095696591
27.5,4/1/2002,DiningOut,0.095215013,0.095215013
27.378,5/1/2002,DiningOut,0.09606518,0.09606518
27.586,6/1/2002,DiningOut,0.095984356,0.095984356
27.616,7/1/2002,DiningOut,0.095087578,0.095087578
27.607,8/1/2002,DiningOut,0.094356454,0.094356454
27.784,9/1/2002,DiningOut,0.096327063,0.096327063
27.623,10/1/2002,DiningOut,0.09537209,0.09537209
27.916,11/1/2002,DiningOut,0.095774938,0.095774938
28.017,12/1/2002,DiningOut,0.095354623,0.095354623
28.018,1/1/2003,DiningOut,0.094881711,0.094881711
27.979,2/1/2003,DiningOut,0.09608899,0.09608899
28.505,3/1/2003,DiningOut,0.096187915,0.096187915
28.403,4/1/2003,DiningOut,0.096071952,0.096071952
29.048,5/1/2003,DiningOut,0.098004352,0.098004352
29.23,6/1/2003,DiningOut,0.097543232,0.097543232
29.395,7/1/2003,DiningOut,0.097081126,0.097081126
29.844,8/1/2003,DiningOut,0.096976393,0.096976393
29.503,9/1/2003,DiningOut,0.096441507,0.096441507
30.045,10/1/2003,DiningOut,0.098565074,0.098565074
30.229,11/1/2003,DiningOut,0.097970838,0.097970838
29.795,12/1/2003,DiningOut,0.096937813,0.096937813
30.341,1/1/2004,DiningOut,0.098119492,0.098119492
30.461,2/1/2004,DiningOut,0.097811044,0.097811044
30.703,3/1/2004,DiningOut,0.096874753,0.096874753
30.56,4/1/2004,DiningOut,0.097470426,0.097470426
30.712,5/1/2004,DiningOut,0.096287332,0.096287332
30.825,6/1/2004,DiningOut,0.097866153,0.097866153
31.191,7/1/2004,DiningOut,0.097921088,0.097921088
31.036,8/1/2004,DiningOut,0.097308313,0.097308313
31.43,9/1/2004,DiningOut,0.096824776,0.096824776
31.625,10/1/2004,DiningOut,0.096807273,0.096807273
31.659,11/1/2004,DiningOut,0.096569332,0.096569332
32.111,12/1/2004,DiningOut,0.096755726,0.096755726
32,1/1/2005,DiningOut,0.097049689,0.097049689
32.505,2/1/2005,DiningOut,0.097762045,0.097762045
32.305,3/1/2005,DiningOut,0.097227197,0.097227197
32.791,4/1/2005,DiningOut,0.097158231,0.097158231
32.778,5/1/2005,DiningOut,0.098034993,0.098034993
33.041,6/1/2005,DiningOut,0.095990262,0.095990262
33.025,7/1/2005,DiningOut,0.095012184,0.095012184
33.229,8/1/2005,DiningOut,0.096981318,0.096981318
33.283,9/1/2005,DiningOut,0.096931272,0.096931272
33.618,10/1/2005,DiningOut,0.097541868,0.097541868
33.986,11/1/2005,DiningOut,0.097866777,0.097866777
33.965,12/1/2005,DiningOut,0.097861539,0.097861539
35.021,1/1/2006,DiningOut,0.097874326,0.097874326
34.535,2/1/2006,DiningOut,0.097440339,0.097440339
34.83,3/1/2006,DiningOut,0.097766226,0.097766226
34.862,4/1/2006,DiningOut,0.097480364,0.097480364
34.877,5/1/2006,DiningOut,0.09792509,0.09792509
34.729,6/1/2006,DiningOut,0.097137535,0.097137535
34.768,7/1/2006,DiningOut,0.096629851,0.096629851
35.367,8/1/2006,DiningOut,0.098165316,0.098165316
35.653,9/1/2006,DiningOut,0.099400026,0.099400026
35.784,10/1/2006,DiningOut,0.099807269,0.099807269
35.846,11/1/2006,DiningOut,0.099790375,0.099790375
37.025,12/1/2006,DiningOut,0.101542681,0.101542681
36.395,1/1/2007,DiningOut,0.100174228,0.100174228
36.053,2/1/2007,DiningOut,0.099061399,0.099061399
36.614,3/1/2007,DiningOut,0.099648099,0.099648099
36.627,4/1/2007,DiningOut,0.100105772,0.100105772
36.732,5/1/2007,DiningOut,0.099109333,0.099109333
37.042,6/1/2007,DiningOut,0.100601294,0.100601294
37.272,7/1/2007,DiningOut,0.100764547,0.100764547
37.189,8/1/2007,DiningOut,0.10023638,0.10023638
37.427,9/1/2007,DiningOut,0.100110202,0.100110202
37.721,10/1/2007,DiningOut,0.100640056,0.100640056
37.609,11/1/2007,DiningOut,0.099496815,0.099496815
38.374,12/1/2007,DiningOut,0.102275302,0.102275302
37.827,1/1/2008,DiningOut,0.100844839,0.100844839
37.215,2/1/2008,DiningOut,0.100125375,0.100125375
37.597,3/1/2008,DiningOut,0.101024839,0.101024839
37.702,4/1/2008,DiningOut,0.100860614,0.100860614
38.101,5/1/2008,DiningOut,0.101471701,0.101471701
38.159,6/1/2008,DiningOut,0.101219923,0.101219923
38.324,7/1/2008,DiningOut,0.10217145,0.10217145
