Period,Value,Store
11/1/2009,42923,Grocery
11/1/2009,37775,Restaurant
12/1/2009,43265,Grocery
12/1/2009,37738,Restaurant
1/1/2010,43060,Grocery
1/1/2010,37622,Restaurant
2/1/2010,43769,Grocery
2/1/2010,38313,Restaurant
3/1/2010,43379,Grocery
3/1/2010,38462,Restaurant
4/1/2010,43088,Grocery
4/1/2010,38707,Restaurant
5/1/2010,43301,Grocery
5/1/2010,38672,Restaurant
6/1/2010,43087,Grocery
6/1/2010,38888,Restaurant
7/1/2010,42885,Grocery
7/1/2010,39045,Restaurant
8/1/2010,43474,Grocery
8/1/2010,39451,Restaurant
9/1/2010,43559,Grocery
9/1/2010,39473,Restaurant
10/1/2010,43674,Grocery
10/1/2010,39524,Restaurant
11/1/2010,44133,Grocery
11/1/2010,39753,Restaurant
12/1/2010,44243,Grocery
12/1/2010,39586,Restaurant
1/1/2011,44707,Grocery
1/1/2011,39651,Restaurant
2/1/2011,44984,Grocery
2/1/2011,40416,Restaurant
3/1/2011,45143,Grocery
3/1/2011,40684,Restaurant
4/1/2011,45663,Grocery
4/1/2011,40614,Restaurant
5/1/2011,45577,Grocery
5/1/2011,41081,Restaurant
6/1/2011,45777,Grocery
6/1/2011,41615,Restaurant
7/1/2011,45917,Grocery
7/1/2011,41507,Restaurant
8/1/2011,46156,Grocery
8/1/2011,41752,Restaurant
9/1/2011,45818,Grocery
9/1/2011,42092,Restaurant
10/1/2011,46162,Grocery
10/1/2011,42206,Restaurant
11/1/2011,46294,Grocery
11/1/2011,42199,Restaurant
12/1/2011,46008,Grocery
12/1/2011,42005,Restaurant
1/1/2012,46392,Grocery
1/1/2012,42833,Restaurant
2/1/2012,46400,Grocery
2/1/2012,43027,Restaurant
3/1/2012,46706,Grocery
3/1/2012,43017,Restaurant
4/1/2012,46931,Grocery
4/1/2012,43529,Restaurant
5/1/2012,46930,Grocery
5/1/2012,43438,Restaurant
6/1/2012,46912,Grocery
6/1/2012,43580,Restaurant
7/1/2012,47137,Grocery
7/1/2012,43787,Restaurant
8/1/2012,47073,Grocery
8/1/2012,43817,Restaurant
9/1/2012,47362,Grocery
9/1/2012,44051,Restaurant
10/1/2012,47611,Grocery
10/1/2012,43794,Restaurant
11/1/2012,47407,Grocery
11/1/2012,44405,Restaurant
12/1/2012,47365,Grocery
12/1/2012,44772,Restaurant
1/1/2013,47482,Grocery
1/1/2013,44981,Restaurant
2/1/2013,47943,Grocery
2/1/2013,44784,Restaurant
3/1/2013,47982,Grocery
3/1/2013,45003,Restaurant
4/1/2013,47497,Grocery
4/1/2013,44745,Restaurant
5/1/2013,47981,Grocery
5/1/2013,44829,Restaurant
6/1/2013,48021,Grocery
6/1/2013,44577,Restaurant
7/1/2013,48170,Grocery
7/1/2013,44878,Restaurant
8/1/2013,48081,Grocery
8/1/2013,45027,Restaurant
9/1/2013,48366,Grocery
9/1/2013,45267,Restaurant
10/1/2013,48299,Grocery
10/1/2013,45869,Restaurant
11/1/2013,48125,Grocery
11/1/2013,46782,Restaurant
12/1/2013,48957,Grocery
12/1/2013,46218,Restaurant
1/1/2014,48676,Grocery
1/1/2014,45741,Restaurant
2/1/2014,48575,Grocery
2/1/2014,46351,Restaurant
3/1/2014,48717,Grocery
3/1/2014,47002,Restaurant
4/1/2014,48874,Grocery
4/1/2014,47194,Restaurant
5/1/2014,48884,Grocery
5/1/2014,47509,Restaurant
6/1/2014,49368,Grocery
6/1/2014,47815,Restaurant
7/1/2014,49335,Grocery
7/1/2014,47987,Restaurant
8/1/2014,49527,Grocery
8/1/2014,48357,Restaurant
9/1/2014,49725,Grocery
9/1/2014,48849,Restaurant
10/1/2014,49834,Grocery
10/1/2014,49517,Restaurant
11/1/2014,49978,Grocery
11/1/2014,49703,Restaurant
12/1/2014,50201,Grocery
12/1/2014,50402,Restaurant
1/1/2015,50101,Grocery
1/1/2015,50336,Restaurant
2/1/2015,50100,Grocery
2/1/2015,50489,Restaurant
3/1/2015,50480,Grocery
3/1/2015,50907,Restaurant
4/1/2015,50262,Grocery
4/1/2015,51482,Restaurant
5/1/2015,50544,Grocery
5/1/2015,51589,Restaurant
6/1/2015,50466,Grocery
6/1/2015,51495,Restaurant
